biotp,monthsnbMois
27,December
22,January
22,February
22,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
36,November
27,December
23,January
23,February
23,March
19,April
19,May
19,June
36,July
89,August
89,September
89,October
36,November
26,December
23,January
23,February
23,March
19,April
19,May
19,June
36,July
89,August
89,September
93,August
93,September
115,October
90,November
32,December
32,January
32,February
32,March
18,April
18,May
18,June
36,July
90,August
90,September
90,October
36,November
27,December
21,January
21,February
21,March
18,April
18,May
18,June
92,August
92,September
116,October
91,November
36,December
36,January
36,February
36,March
18,April
18,May
18,June
37,July
91,August
91,September
91,October
36,November
27,December
22,January
22,February
93,August
93,September
117,October
79,November
29,December
29,January
29,February
29,March
16,April
16,May
16,June
37,July
91,August
91,September
91,October
35,November
25,December
20,January
20,February
20,March
18,April
18,May
18,June
37,July
89,August
89,September
89,October
35,November
92,August
92,September
112,October
73,November
27,December
27,January
27,February
27,March
14,April
14,May
14,June
35,July
90,August
90,September
90,October
36,November
96,August
96,September
119,October
87,November
22,December
22,January
22,February
22,March
11,April
11,May
11,June
38,July
93,August
93,September
93,October
34,November
25,December
21,January
21,February
21,March
18,April
18,May
18,June
38,July
93,August
93,September
93,October
36,November
24,December
20,January
20,February
20,March
17,April
17,May
17,June
38,July
93,August
93,September
93,October
35,November
24,December
19,January
19,February
19,March
17,April
17,May
17,June
38,July
93,August
93,September
93,October
37,November
25,December
21,January
21,February
21,March
18,April
18,May
18,June
38,July
93,August
93,September
93,October
35,November
25,December
20,January
20,February
20,March
17,April
17,May
17,June
38,July
93,August
93,September
93,October
91,August
91,September
115,October
82,November
45,December
45,January
45,February
45,March
25,April
25,May
25,June
36,July
90,August
90,September
90,October
37,November
26,December
23,January
23,February
23,March
20,April
20,May
20,June
36,July
90,August
90,September
90,October
90,August
90,September
111,October
80,November
34,December
34,January
34,February
34,March
19,April
19,May
19,June
35,July
89,August
89,September
89,October
36,November
26,December
23,January
23,February
94,August
94,September
115,October
85,November
32,December
32,January
32,February
32,March
15,April
15,May
15,June
36,July
92,August
92,September
92,October
38,November
26,December
22,January
22,February
22,March
92,August
92,September
115,October
86,November
29,December
29,January
29,February
29,March
16,April
16,May
16,June
36,July
90,August
90,September
93,August
93,September
114,October
83,November
35,December
35,January
35,February
35,March
20,April
20,May
20,June
36,July
95,August
95,September
118,October
91,November
36,December
36,January
36,February
36,March
19,April
19,May
19,June
37,July
93,August
93,September
93,October
36,November
26,December
95,August
95,September
116,October
81,November
32,December
32,January
32,February
32,March
17,April
17,May
17,June
37,July
94,August
94,September
116,October
102,November
40,December
40,January
40,February
40,March
20,April
20,May
20,June
37,July
92,August
92,September
92,August
93,August
94,August
94,September
94,August
94,September
109,October
94,August
94,September
112,October
67,November
50,December
48,January
91,August
91,September
106,October
61,November
48,December
47,January
88,August
88,September
105,October
64,November
54,December
53,January
53,February
53,March
30,April
30,May
30,June
35,July
87,August
87,September
87,October
42,November
96,August
96,September
108,October
63,November
53,December
52,January
52,February
52,March
31,April
31,May
31,June
88,August
88,September
111,October
81,November
29,December
29,January
29,February
29,March
16,April
16,May
16,June
35,July
87,August
87,September
87,October
34,November
24,December
20,January
20,February
20,March
17,April
17,May
17,June
35,July
87,August
87,September
87,October
35,November
27,December
21,January
21,February
21,March
18,April
18,May
18,June
35,July
87,August
87,September
87,October
35,November
26,December
23,January
23,February
23,March
18,April
18,May
18,June
